hot	opposite of	cold
dark	opposite of	light
success	opposite of	failure
ascent	opposite of	descent
abundance	opposite of	scarcity
peace	opposite of	war
free	opposite of	captive
fast	opposite of	slow
simple	opposite of	complex
joy	opposite of	sorrow
empty	opposite of	full
silence	opposite of	noise
morning	opposite of	night
old	opposite of	young
pure	opposite of	impure
soft	opposite of	hard
chaos	opposite of	order
rich	opposite of	poor
loud	opposite of	quiet
calm	opposite of	stormy
truth	opposite of	lie
high	opposite of	low
strong	opposite of	weak
safe	opposite of	hazardous
right	opposite of	wrong
fasten	opposite of	loosen
permanent	opposite of	temporary
beautiful	opposite of	ugly
peaceful	opposite of	tumultuous
short	opposite of	long
quick	opposite of	slow
happy	opposite of	sad
bright	opposite of	dull
clear	opposite of	foggy
early	opposite of	late
exact	opposite of	imprecise
healthy	opposite of	unhealthy
wide	opposite of	narrow
expensive	opposite of	cheap
clean	opposite of	dirty
open	opposite of	closed
easy	opposite of	difficult
new	opposite of	old
correct	opposite of	incorrect
complete	opposite of	incomplete
mature	opposite of	immature
smooth	opposite of	rough
stable	opposite of	unstable
steady	opposite of	unsteady
wise	opposite of	foolish
active	opposite of	inactive
perfect	opposite of	imperfect
precise	opposite of	imprecise
good	opposite of	bad
sharp	opposite of	dull
quickening	opposite of	slowing
whole	opposite of	part
natural	opposite of	artificial
deep	opposite of	shallow
dense	opposite of	sparse
direct	opposite of	indirect
sound	opposite of	noiseless
brightening	opposite of	darkening
big	opposite of	small
free	opposite of	bound
full	opposite of	empty
long	opposite of	short
bright	opposite of	dim
hard	opposite of	easy
clear	opposite of	unclear
fastidious	opposite of	careless
heavy	opposite of	light
calm	opposite of	agitated
busy	opposite of	idle
real	opposite of	fake
serious	opposite of	frivolous
confident	opposite of	timid
decisive	opposite of	indecisive
neat	opposite of	messy
pleasant	opposite of	unpleasant
kind	opposite of	cruel
joyful	opposite of	sorrowful
accurate	opposite of	inaccurate
precise	opposite of	approximate
quick	opposite of	deliberate
clear	opposite of	opaque
logical	opposite of	illogical
calm	opposite of	turbulent
natural	opposite of	unnatural
good	opposite of	evil
honest	opposite of	dishonest
noble	opposite of	ignoble
fair	opposite of	unfair
beautiful	opposite of	grotesque
wise	opposite of	ignorant
strong	opposite of	fragile
precise	opposite of	vague
efficient	opposite of	inefficient
precise	opposite of	sloppy
active	opposite of	passive
beautiful	opposite of	repulsive
healthy	opposite of	sick
calm	opposite of	frantic
precise	opposite of	rough
bright	opposite of	dark
peaceful	opposite of	chaotic
near	opposite of	far
wide awake	opposite of	asleep
rich in knowledge	opposite of	ignorant
safe	opposite of	dangerous
powerful	opposite of	powerless
friendly	opposite of	unfriendly
helpful	opposite of	unhelpful
generous	opposite of	stingy
patient	opposite of	impatient
independent	opposite of	dependent
organized	opposite of	disorganized
polite	opposite of	rude
respectful	opposite of	disrespectful
adventurous	opposite of	unadventurous
confident	opposite of	insecure
loyal	opposite of	disloyal
responsible	opposite of	irresponsible
reliable	opposite of	unreliable
understanding	opposite of	misunderstanding
supportive	opposite of	unsupportive
compassionate	opposite of	merciless
cooperative	opposite of	uncooperative
creative	opposite of	uncreative
unique	opposite of	common
tidy	opposite of	messy
neat	opposite of	untidy
timely	opposite of	untimely
careful	opposite of	careless
skillful	opposite of	unskilled
good listener	opposite of	poor listener
knowledgeable	opposite of	uninformed
considerate	opposite of	inconsiderate
responsive	opposite of	unresponsive
young	opposite of	old
peaceful	opposite of	turbulent
clear	opposite of	cloudy
free	opposite of	trapped
gentle	opposite of	rough
calm	opposite of	anxious
fresh	opposite of	stale
beautiful	opposite of	unattractive
precise	opposite of	loose
exact	opposite of	approximate
certain	opposite of	uncertain
smooth	opposite of	jagged
firm	opposite of	fragile
quick	opposite of	lingering
precise	opposite of	careless
vivid	opposite of	dull
precise	opposite of	inaccurate
concise	opposite of	verbose
beautiful	opposite of	unappealing
certain	opposite of	doubtful
beautiful	opposite of	unrefined
active	opposite of	inaction
quick	opposite of	sluggish
efficient	opposite of	unproductive
short	opposite of	lengthy
complete	opposite of	unfinished
open	opposite of	secretive
clear	opposite of	obscure
quick	opposite of	prolonged
beautiful	opposite of	unremarkable
certain	opposite of	unsure
direct	opposite of	circuitous
short	opposite of	extended
slow	opposite of	fast
small	opposite of	large
cheap	opposite of	expensive
light	opposite of	heavy
gentle	opposite of	harsh
narrow	opposite of	wide
loudmouthed	opposite of	silent
smooth	opposite of	bumpy
successful	opposite of	unsuccessful
left	opposite of	right
free	opposite of	imprisoned
old	opposite of	new
secure	opposite of	insecure
sharp	opposite of	blunt
silent	opposite of	noisy
steady	opposite of	unstable
precise measurement	opposite of	approximate measurement
correct judgment	opposite of	incorrect judgment
effective	opposite of	ineffective
beautiful landscape	opposite of	ugly landscape
good student	opposite of	bad student
good worker	opposite of	bad worker
effective solution	opposite of	ineffective solution
good plan	opposite of	bad plan
good performance	opposite of	poor performance
clear voice	opposite of	unclear voice
healthy lifestyle	opposite of	unhealthy lifestyle
accurate prediction	opposite of	inaccurate prediction
good decision	opposite of	bad decision
good advice	opposite of	bad advice
good behavior	opposite of	bad behavior
correct action	opposite of	incorrect action
good treatment	opposite of	bad treatment
accurate diagnosis	opposite of	inaccurate diagnosis
good outcome	opposite of	bad outcome
good product	opposite of	bad product
fair game	opposite of	unfair game
good sport	opposite of	bad sport
good education	opposite of	bad education
accurate information	opposite of	inaccurate information
good relationship	opposite of	bad relationship
good habit	opposite of	bad habit
good leader	opposite of	bad leader
fair judge	opposite of	unfair judge
accurate record	opposite of	inaccurate record
good teacher	opposite of	bad teacher
good artist	opposite of	bad artist
fair play	opposite of	unfair play
good coach	opposite of	bad coach
order	opposite of	chaos
right	opposite of	left
up	opposite of	down
large	opposite of	small
happy	opposite of	unhappy
wealthy	opposite of	impoverished
wild	opposite of	tame
real	opposite of	unreal
sure	opposite of	uncertain
loud	opposite of	soft
free	opposite of	slave
free	opposite of	enslaved
hard	opposite of	soft
true	opposite of	false
peaceful	opposite of	violent
easy	opposite of	hard
new	opposite of	used
quiet	opposite of	loud
big	opposite of	tiny
real	opposite of	imaginary
firm	opposite of	loose
careful	opposite of	reckless
quickened	opposite of	dulled
harmonious	opposite of	discordant
thorough	opposite of	superficial
quicksilver	opposite of	sluggish
constant	opposite of	variable
continuous	opposite of	interrupted
consistent	opposite of	inconsistent
deliberate	opposite of	spontaneous
rational	opposite of	irrational
attentive	opposite of	inattentive
exacting	opposite of	lenient
confident	opposite of	hesitant
exact	opposite of	vague
careful	opposite of	thoughtless
careful	opposite of	hasty
skillful	opposite of	clumsy
rational	opposite of	emotional
thorough	opposite of	cursory
perfect	opposite of	faulty
careful	opposite of	negligent
accurate	opposite of	inexact
rational	opposite of	illogical
serious	opposite of	trivial
difficult	opposite of	easy
complex	opposite of	simple
safe	opposite of	danger
modern	opposite of	ancient
grateful	opposite of	ungrateful
ambitious	opposite of	nonchalant
ambitious	opposite of	indifferent
precise	opposite of	inexact
perfect	opposite of	flawed
clean	opposite of	filthy
peace	opposite of	chaos
love	opposite of	hate
quick	opposite of	delayed
free time	opposite of	busy time
good health	opposite of	bad health
confident	opposite of	uncertain
distinct	opposite of	unclear
regular	opposite of	irregular
simple	opposite of	complicated
steady	opposite of	erratic
sound	opposite of	discordant
firm	opposite of	soft
solid	opposite of	fragile
level	opposite of	uneven
clear	opposite of	hazy
modern	opposite of	traditional
social	opposite of	antisocial
joyful	opposite of	miserable
selfless	opposite of	selfish
optimistic	opposite of	pessimistic
talented	opposite of	untalented
imaginative	opposite of	unimaginative
free	opposite of	restricted
skilled	opposite of	unskilled
awake	opposite of	asleep
thick	opposite of	thin
rough	opposite of	smooth
well	regarded	opposite of
short	opposite of	tall
big	opposite of	little
warm	opposite of	cold
beautiful	opposite of	hideous
dark	opposite of	bright
deep	opposite of	superficial
open	opposite of	shut
safe	opposite of	endangered
rich	opposite of	impoverished
cold	opposite of	hot
clear	opposite of	confusing
whole	opposite of	fractured
pure	opposite of	corrupt
natural	opposite of	synthetic
kind	opposite of	harsh
large	opposite of	tiny
whole	opposite of	broken
alive	opposite of	dead
human	opposite of	inanimate
old	opposite of	ancient
old	opposite of	elderly
original	opposite of	copy
peaceful	opposite of	warlike
same	opposite of	different
urban	opposite of	rural
vast	opposite of	narrow
vital	opposite of	nonvital
wealthy	opposite of	poor
white	opposite of	black
yellow	opposite of	green
youthful	opposite of	aged
zoomed	opposite of	stationary
zonal	opposite of	global
joy	opposite of	pain
life	opposite of	death
hope	opposite of	despair
trust	opposite of	mistrust
liberty	opposite of	servitude
freedom	opposite of	oppression
kindness	opposite of	cruelty
order	opposite of	disorder
progress	opposite of	regression
happiness	opposite of	sadness
harmony	opposite of	discord
confidence	opposite of	insecurity
peace	opposite of	conflict
perfection	opposite of	imperfection
reality	opposite of	illusion
happiness	opposite of	misery
joy	opposite of	depression
courage	opposite of	cowardice
prosperity	opposite of	poverty
friendship	opposite of	animosity
equality	opposite of	inequality
prosperity	opposite of	adversity
innocence	opposite of	guilt
knowledge	opposite of	ignorance
morality	opposite of	immorality
stability	opposite of	instability
safety	opposite of	danger
growth	opposite of	decay
life	opposite of	nonexistence
progress	opposite of	stagnation
security	opposite of	insecurity
trust	opposite of	distrust
power	opposite of	powerlessness
victory	opposite of	defeat
beauty	opposite of	ugliness
strength	opposite of	weakness
wisdom	opposite of	foolishness
health	opposite of	illness
education	opposite of	ignorance
cooperation	opposite of	competition
justice	opposite of	injustice
mercy	opposite of	cruelty
freedom	opposite of	slavery
friendship	opposite of	enmity
truth	opposite of	falsehood
unity	opposite of	division
quicksand	opposite of	solid ground
quiet	opposite of	noisy
smart	opposite of	dumb
sure	opposite of	unsure
straightforward	opposite of	roundabout
progressive	opposite of	regressive
distinct	opposite of	indistinct
focused	opposite of	unfocused
exacting	opposite of	lax
deliberate	opposite of	impulsive
coherent	opposite of	incoherent
persistent	opposite of	fleeting
profound	opposite of	superficial
intuitive	opposite of	analytical
original	opposite of	derivative
distinct	opposite of	blurred
authentic	opposite of	fake
significant	opposite of	insignificant
substantial	opposite of	insignificant
articulate	opposite of	inarticulate
effective	opposite of	ineffectual
precise	opposite of	hasty
silent	opposite of	loud
wise	opposite of	unwise
genuine	opposite of	artificial
whole	opposite of	partial
correctable	opposite of	incorrigible
firm	opposite of	flimsy
sound	opposite of	unsound
straightforward	opposite of	indirect
clear	headed	opposite of
weak	opposite of	strong
thin	opposite of	fat
noisy	opposite of	quiet
full of energy	opposite of	drained
precise calculation	opposite of	approximate calculation
correct decision	opposite of	wrong decision
beautiful music	opposite of	noise
correct attitude	opposite of	incorrect attitude
correct way	opposite of	wrong way
precise definition	opposite of	vague definition
clear language	opposite of	unclear language
complete understanding	opposite of	incomplete understanding
