water	has	wetness
sun	has	brightness
ice	has	coldness
fire	has	heat
sugar	has	sweetness
gold	has	value
diamond	has	brilliance
honey	has	sweetness
gasoline	has	flammability
snow	has	whiteness
silk	has	softness
copper	has	conductivity
butter	has	richness
charcoal	has	carbon content
perfume	has	fragrance
diamonds	has	hardness
honey	has	stickiness
silver	has	reflectivity
sugar	has	solubility
ice	has	clarity
marble	has	translucency
mercury	has	fluidity
wood	has	texture
bronze	has	strength
coffee	has	bitterness
gold	has	malleability
silver	has	ductility
honey	has	viscosity
sulfur	has	reactivity
glass	has	transparency
steel	has	strength
iron	has	durability
silk	has	sheen
sugar	has	fermentability
lead	has	heaviness
diamonds	has	rarity
copper	has	malleability
perfume	has	potency
ice	has	rigidity
wood	has	buoyancy
gold	has	corrosion resistance
bronze	has	durability
iron	has	magnetic properties
sugar	has	crystallinity
carbon	has	versatility
mercury	has	toxicity
diamonds	has	scratch resistance
charcoal	has	absorptivity
copper	has	heat conductivity
silk	has	elasticity
sulfur	has	odor
gold	has	rarity
steel	has	corrosion resistance
sugar	has	digestibility
perfume	has	evaporation rate
silver	has	conductivity
ice	has	melting point
marble	has	smoothness
wood	has	sustainability
copper	has	corrosion resistance
diamonds	has	brilliance
honey	has	acidity
gold	has	durability
sugar	has	dissolubility
wood	has	weight
silver	has	electrical conductivity
perfume	has	shelf life
iron	has	ferromagnetism
mercury	has	biotoxicity
copper	has	thermal expansion
sugar	has	shelf life
diamonds	has	chemical inertness
ice	has	low density
steel	has	high tensile strength
gold	has	ductility
sulfur	has	flammability
perfume	has	fragrance intensity
ice	has	viscosity
marble	has	polishability
wood	has	decay rate
diamonds	has	transparency
steel	has	elasticity
perfume	has	colorfastness
iron	has	oxidation resistance
copper	has	high thermal conductivity
sugar	has	melting point
bronze	has	soundness
mercury	has	specific gravity
gelatin	has	gelation rate
gold	has	chemical inertness
silver	has	tarnish resistance
sugar	has	dissolvability
perfume	has	stability
ice	has	low melting point
iron	has	strength
diamond	has	hardness
marble	has	elegance
wool	has	warmth
graphite	has	lubricity
steel	has	durability
cotton	has	breathability
woolen	has	absorbency
quartz	has	brittleness
rubber	has	elasticity
carbon	has	lightness
steel	has	magnetism
titanium	has	strength
granite	has	heaviness
woolen	has	density
sand	has	coarseness
wool	has	fluffiness
iron	has	sharpness
silk	has	smoothness
rubber	has	flexibility
graphite	has	abrasiveness
steel	has	toughness
diamond	has	rarity
gold	has	brilliance
carbon	has	conductivity
quartz	has	clarity
marble	has	beauty
lead	has	density
graphite	has	slipperyness
glass	has	fragility
gold	has	luster
silver	has	whiteness
wool	has	thickness
iron	has	tensile strength
quartz	has	hardness
wool	has	softness
silver	has	lightness
silk	has	elegance
carbon	has	softness
woolen	has	strength
lead	has	toxicity
wool	has	absorbency
marble	has	durability
wool	has	breathability
quartz	has	beauty
carbon	has	brittleness
steel	has	tensile strength
gold	has	preciousness
marble	has	grandeur
steel	has	hardness
woolen	has	warmth
wool	has	coarseness
silk	has	fineness
mercury	has	viscosity
graphite	has	conductivity
woolen	has	smoothness
quartz	has	transparency
woolen	has	elegance
rose	has	fragrance
book	has	text
piano	has	melody
dog	has	loyalty
