bread	and	butter
salt	and	pepper
thunder	and	lightning
fish	and	chips
law	and	order
sun	and	shine
rain	and	clouds
earth	and	soil
sea	and	waves
fire	and	flames
wind	and	breeze
coffee	and	cream
tea	and	leaves
sand	and	beach
mountain	and	peak
flower	and	garden
dog	and	bark
cat	and	purr
rain	and	storm
night	and	darkness
day	and	sunlight
sky	and	blue
cloud	and	white
bird	and	sing
tree	and	leaf
leaf	and	rustle
water	and	flow
wave	and	crash
shore	and	tide
fish	and	swim
bird	and	nest
flower	and	bloom
tree	and	branch
rock	and	stone
mountain	and	hill
hill	and	valley
valley	and	stream
stream	and	river
river	and	flow
lake	and	lakefront
lake	and	boats
sun	and	heat
heat	and	waves
waves	and	surf
surf	and	beach
storm	and	rain
rain	and	thunder
thunder	and	loud
loud	and	noise
noise	and	sound
sound	and	music
music	and	melody
melody	and	harmony
harmony	and	beauty
beauty	and	art
art	and	creation
creation	and	imagination
imagination	and	dream
dream	and	sleep
sleep	and	rest
rest	and	relaxation
relaxation	and	calm
calm	and	peaceful
peaceful	and	serenity
serenity	and	happiness
happiness	and	joy
joy	and	laughter
laughter	and	smile
smile	and	happiness
happiness	and	love
love	and	kindness
kindness	and	compassion
compassion	and	empathy
empathy	and	understanding
understanding	and	knowledge
knowledge	and	wisdom
wisdom	and	insight
insight	and	clarity
clarity	and	precision
precision	and	accuracy
accuracy	and	truth
truth	and	honesty
honesty	and	integrity
integrity	and	trust
trust	and	loyalty
loyalty	and	commitment
commitment	and	responsibility
responsibility	and	duty
duty	and	obligation
obligation	and	promise
promise	and	vow
vow	and	loyalty
loyalty	and	devotion
devotion	and	dedication
dedication	and	hard work
hard work	and	effort
effort	and	perseverance
perseverance	and	success
success	and	achievement
achievement	and	pride
pride	and	satisfaction
satisfaction	and	fulfillment
fulfillment	and	happiness
peace	and	justice
mind	and	matter
heart	and	love
earth	and	space
sun	and	moon
body	and	soul
time	and	money
rain	and	raincoat
fire	and	burn
day	and	night
sea	and	shore
life	and	death
fate	and	destiny
dream	and	reality
cloud	and	storm
snow	and	cold
pain	and	suffering
pain	and	gain
good	and	evil
right	and	wrong
truth	and	lies
crime	and	punishment
sin	and	redemption
peace	and	war
war	and	peace
heaven	and	hell
rich	and	poor
big	and	small
high	and	low
left	and	right
old	and	young
fast	and	slow
long	and	short
new	and	old
hard	and	easy
good	and	bad
loud	and	quiet
strong	and	weak
happy	and	sad
full	and	empty
light	and	dark
deep	and	shallow
heavy	and	light
thick	and	thin
loud	and	silent
big	and	gigantic
small	and	tiny
slow	and	quick
quick	and	fast
big	and	enormous
dark	and	bright
cold	and	hot
soft	and	hard
good	and	excellent
bad	and	terrible
new	and	modern
rich	and	wealthy
poor	and	destitute
old	and	vintage
young	and	youthful
high	and	elevated
small	and	miniature
quick	and	speedy
fast	and	swift
big	and	massive
quiet	and	peaceful
cold	and	chilly
hot	and	scorching
old	and	ancient
young	and	adolescent
dark	and	mysterious
light	and	radiant
bright	and	shining
loud	and	boisterous
soft	and	gentle
strong	and	powerful
weak	and	feeble
full	and	overflowing
empty	and	hollow
new	and	innovative
rich	and	affluent
poor	and	impoverished
fast	and	rapid
slow	and	sluggish
long	and	extended
short	and	concise
old	and	antique
young	and	juvenile
heavy	and	burdensome
light	and	airy
cold	and	freezing
hot	and	sweltering
happy	and	joyful
sad	and	sorrowful
loud	and	deafening
soft	and	soothing
strong	and	muscular
weak	and	frail
good	and	beneficial
bad	and	detrimental
short	and	abbreviated
new	and	modernized
rich	and	prosperous
poor	and	needy
old	and	outdated
young	and	immature
high	and	lofty
small	and	compact
quick	and	agile
fast	and	speedy
deep	and	profound
shallow	and	superficial
cold	and	icy
hot	and	torrid
soft	and	pliable
strong	and	robust
rain	and	umbrella
pen	and	paper
cat	and	mouse
house	and	home
work	and	office
man	and	woman
car	and	engine
book	and	page
doctor	and	nurse
school	and	teacher
mouse	and	click
dog	and	bone
coffee	and	cup
key	and	lock
door	and	handle
fire	and	smoke
train	and	station
bike	and	helmet
chair	and	table
phone	and	call
eye	and	see
sea	and	beach
bird	and	song
foot	and	shoe
sunflower	and	oil
clock	and	tick
ship	and	anchor
knife	and	cut
cloud	and	rain
mirror	and	reflection
piano	and	music
cake	and	icing
car	and	wheel
train	and	track
sun	and	rays
fish	and	tank
bus	and	fare
apple	and	core
pen	and	ink
bike	and	rider
boat	and	sail
chair	and	cushion
pen	and	notebook
eye	and	vision
car	and	license
house	and	walls
computer	and	keyboard
book	and	novel
key	and	keyhole
chair	and	back
pen	and	writing
flower	and	petals
eye	and	eyebrow
dog	and	leash
bus	and	passenger
tree	and	roots
clock	and	hands
sun	and	warmth
house	and	furniture
fish	and	scales
computer	and	mouse
house	and	yard
cake	and	frosting
