glass	falls	breaks
day	follows	night
fish	live in	water
wheel	part of	car
knife	used for	cutting
car	driven by	driver
book	written by	author
door	opens to	room
computer	connected to	internet
pen	writes with	ink
chair	sits on	person
fire	burns	wood
house	lives in	family
pencil	used for	drawing
bike	rides on	road
car	contains	engine
cup	holds	coffee
hammer	hits with	nail
train	travels by	tracks
chair	has	legs
person	has	eyes
key	unlocks	door
flower	grows in	garden
table	has	tablecloth
phone	calls on	phone number
brush	paints with	colors
knife	cuts	meat
baby	feeds on	milk
train	carries	passengers
guitar	played on	strings
bookshelf	holds	books
door	closes to	hallway
car	has	wheels
key	turns	lock
chair	supports	weight
house	has	roof
boat	sails on	water
pen	signs	contract
pencil	sharpens	sharpener
person	needs	oxygen
computer	needs	electricity
phone	receives	calls
chair	made of	wood
key	fits	keyhole
house	has	address
car	accelerates	speed
knife	chops	wood
baby	sleeps in	crib
tree	grows	branches
guitar	has	strings
book	reads	story
person	sees	light
key	unlocks	safe
train	stops	station
car	needs	gasoline
pencil	erases	marks
chair	has	cushion
person	needs	food
train	has	cars
book	contains	pages
door	opens	entrance
car	brakes	slowly
person	walks	feet
key	opens	lock
guitar	has	tuner
pen	signs	documents
house	has	walls
train	travels	long distance
chair	has	seat
car	has	air conditioning
person	needs	water
chair	supports	back
knife	cuts	rope
car	drives	highway
tree	has	roots
key	fits	ignition
person	sees	horizon
guitar	has	frets
book	has	chapters
car	accelerates	quickly
person	breathes	air
train	stops	traffic
key	unlocks	cabinet
car	has	mirrors
pencil	marks	paper
person	has	voice
chair	has	armrest
car	needs	maintenance
knife	slices	bread
book	has	title
person	needs	shelter
guitar	has	amplifier
car	has	airbags
key	opens	gate
tree	produces	fruit
person	has	fingerprints
car	drives	safely
chair	has	footrest
book	contains	illustrations
person	sees	reflection
train	travels	fast
key	unlocks	padlock
car	has	license plate
chair	has	backrest
guitar	has	picks
person	needs	exercise
car	accelerates	rapidly
knife	cuts	paper
train	has	engines
chair	has	pillows
book	reads	novel
car	has	gps
key	turns	valve
person	needs	rest
car	drives	road
tree	provides	shade
guitar	has	neck
book	contains	quotes
person	sees	image
glass	made of	silicon
tree	has	branches
house	built on	foundation
pen	used for	writing
car	powered by	engine
dog	loves	bone
city	located in	country
computer	connects to	internet
chair	sits on	floor
bike	has	wheels
knife	used with	cutting board
mountain	made of	rocks
tree	shaded by	umbrella
school	attended by	student
pen	filled with	ink
tree	falls in	autumn
house	heated by	furnace
dog	wags its	tail
book	read by	reader
car	stops at	traffic light
mountain	climbed by	hiker
car	driven on	highway
fish	fed with	food
computer	has	keyboard
house	painted with	colors
dog	barks at	stranger
tree	pruned by	gardener
car	equipped with	gps
mountain	reached by	airplane
chair	sat in	room
car	parked in	garage
fish	live in	aquarium
dog	loves to	play
book	contains	pictures
car	owned by	owner
tree	drops its	leaves
house	sold by	realtor
dog	trained by	trainer
book	read aloud by	narrator
car	stopped at	traffic stop
mountain	climbed by	mountaineer
computer	connected to	printer
house	insulated by	insulation
dog	walked by	owner
car	driven in	rain
book	borrowed by	reader
mountain	covered by	snow
car	crashed into	barrier
tree	damaged by	storm
car	driven off	road
dog	chased by	squirrel
car	stopped by	police
house	expanded by	addition
book	written in	diary
mountain	reached by	helicopter
car	driven with	caution
tree	felled by	axe
car	driven at	night
book	contains	notes
mountain	formed by	volcano
car	driven in	fog
dog	runs in	park
book	read by	student
house	heated by	radiator
car	driven with	license
tree	grows from	seed
car	stopped by	curb
book	written about	history
mountain	climbed with	ropes
dog	responds to	commands
car	driven on	ice
house	sold for	money
car	crashed by	crash test
book	contains	glossary
car	driven in	city
dog	barks at	mailman
car	driven with	gps
car	stopped by	pedestrian
mountain	climbed by	climber
book	read by	audiobook
glass	breaks	when dropped
doctor	examines	patients
chair	sits on	table
book	contains	stories
pencil	writes	on paper
car	moves on	road
teacher	teaches	students
phone	rings	alarms
flower	grows	in garden
house	has	windows
dog	eats	food
computer	stores	data
bicycle	rides on	bike path
clock	displays	time
baby	needs	diaper
teacher	assigns	homework
restaurant	serves	meals
doctor	prescribes	medicine
hospital	has	nurses
car	has	engine
plant	needs	water
guitar	plays	music
school	has	students
phone	calls	people
book	reads	books
tree	shades	house
kitchen	has	stove
teacher	grades	papers
hospital	admits	patients
car	stops	at red lights
door	opens	room
computer	connects	internet
school	has	principal
dog	chases	ball
pen	writes	on paper
phone	charges	battery
nurse	cares	patients
car	drives on	highway
piano	plays	melody
teacher	gives	tests
library	has	books
dog	wags	tail
computer	uses	software
school	has	cafeteria
restaurant	serves	dessert
doctor	diagnoses	illness
hospital	has	icu
car	uses	gas
dog	barks	loudly
book	reads	stories
nurse	takes	vitals
computer	processes	data
teacher	teaches	lesson
dog	runs	quickly
school	has	playground
hospital	has	lab
chair	holds	weight
teacher	grades	assignments
restaurant	has	menu
nurse	administers	shots
car	uses	headlights
dog	fetches	ball
computer	stores	files
school	has	gym
book	reads	novels
car	has	tires
hospital	has	equipment
dog	loves	treats
phone	sends	texts
teacher	assigns	tasks
restaurant	serves	breakfast
car	drives	smoothly
school	has	teachers
nurse	monitors	patients
computer	uses	keyboard
dog	sniffs	air
book	reads	chapter
hospital	has	pharmacy
phone	makes	calls
teacher	gives	feedback
restaurant	serves	coffee
school	has	library
nurse	takes	temperature
car	has	parking
phone	stores	contacts
teacher	teaches	morals
book	reads	fiction
computer	uses	printer
hospital	has	emergency room
chair	sits	comfortably
restaurant	serves	dinner
nurse	administers	medication
car	uses	signals
phone	sends	emails
teacher	gives	lectures
dog	chases	squirrels
school	has	clubs
car	has	windshield
computer	uses	speakers
hospital	has	wards
dog	loves	attention
phone	receives	messages
teacher	teaches	science
restaurant	serves	lunch
car	has	gps system
doctor	works as	hospital
house	has	rooms
sun	shines in	sky
music	played on	instrument
map	shows	route
computer	uses	internet
train	travels on	tracks
teacher	teaches in	classroom
picture	hangs on	wall
piano	played on	keyboard
school	attended by	students
river	flows into	ocean
chair	supported by	legs
doctor	examines	patient
clock	shows	time
hotel	offers	rooms
computer	connects to	network
road	leads to	highway
table	made of	wood
sun	rises over	horizon
store	sells	products
tree	produces	fruits
phone	rings on	hook
book	reads	author
hospital	treats	illness
teacher	grades	students
city	has	population
factory	produces	goods
map	marks	territories
river	forms	delta
hotel	provides	services
train	stops at	station
dog	plays with	toys
piano	needs	tuning
road	connects	cities
student	learns from	teacher
clock	chimes on	hour
table	eats on	people
computer	communicates	network
river	empties into	sea
hotel	charges	rates
city	has	mayor
book	publishes	publisher
river	navigates	boats
dog	needs	food
house	has	foundation
teacher	gives	lesson
clock	strikes on	bell
student	attends	class
piano	plays	music
river	flows	swiftly
car	has	headlights
hotel	provides	amenities
book	binds	pages
train	chugs	engine
river	nourishes	wildlife
teacher	lectures	students
hotel	offers	services
city	has	attractions
table	eats on	tablecloth
student	learns	subject
river	forms	valley
car	has	license
doctor	diagnoses	patient
clock	rings on	hour
teacher	teaches	subject
house	has	garden
river	empties	lake
book	reads	chapters
train	travels	route
hotel	has	lobby
river	navigates	rapids
student	studies	book
computer	processes	information
river	forms	waterfall
chair	supports	person
hotel	provides	breakfast
city	has	police
book	has	cover
river	flows	peacefully
train	stops	frequently
hotel	has	restaurant
city	has	museum
table	eats on	plates
student	attends	college
river	forms	canyon
computer	communicates	email
house	has	backyard
train	travels	schedule
dog	plays	fetch
book	reads	writer
river	empties	sea
rain	falls	earth
book	reads	person
dog	belongs to	owner
mountain	part of	range
car	runs on	gas
water	evaporates	gas
sun	sets	horizon
river	flows	lake
house	built on	land
flower	grows	garden
sun	shines	light
train	travels	tracks
pencil	writes	paper
phone	rings	person
bike	rides	road
sea	touches	shore
key	fits	lock
music	plays	radio
bird	sings	song
tree	falls	autumn
clock	strikes	bell
water	flows	pipe
sun	rises	east
table	holds	plate
book	reads	knowledge
key	turns	engine
river	nourishes	fish
bike	brakes	wheel
music	plays	instrument
fish	swims	water
tree	shades	sun
book	pages	turn
sun	sets	sunset
clock	chimes	midnight
train	arrives	station
key	opens	cabinet
house	has	chimney
river	flows	ocean
dog	wags	happily
sun	shines	warm
tree	grows	leaves
music	plays	concert
dog	fetches	stick
water	quenches	thirst
clock	strikes	noon
bike	shifts	gear
dog	sleeps	cozy
sun	rises	dawn
river	creates	delta
book	writes	author
car	parks	garage
fish	feed	food
dog	listens	command
music	plays	melody
tree	bears	fruit
clock	chimes	hour
dog	runs	fast
sun	shines	bright
computer	searches	internet
dog	howls	moon
car	brakes	suddenly
river	flows	valley
clock	strikes	quarter
bike	pedals	hard
tree	stands	tall
sun	shines	warmest
car	drives	night
dog	wags	enthusiastically
music	plays	background
dog	sits	quietly
sun	rises	morning
river	nourishes	plants
tree	gives	shade
music	plays	harmony
dog	runs	wildly
clock	strikes	two
bike	brakes	quickly
fish	lives	aquarium
dog	fetches	toy
sun	shines	brightly
tree	provides	shelter
river	flows	smoothly
cloud	floats in	sky
tree	grows in	forest
sun	rises in	east
road	leads to	city
river	flows to	sea
bicycle	rides on	path
mirror	reflects	image
box	contains	boxers
car	drives on	road
garden	grows	flowers
piano	has	keys
pencil	writes with	paper
hammer	hits	nail
sun	shines on	beach
table	sits on	floor
train	moves on	tracks
eye	sees	world
river	flows through	valley
pen	writes on	paper
bed	sleeps in	bedroom
flower	blooms in	garden
bicycle	pedals with	feet
bus	travels on	highway
pencil	erases with	eraser
clock	chimes in	room
fish	swims in	aquarium
door	closes with	handle
car	accelerates on	gas
pencil	sharpens with	sharpener
book	reads on	desk
car	brakes on	pavement
key	fits in	lock
river	empties into	ocean
computer	uses	mouse
bicycle	locks with	chain
door	creaks with	hinges
book	closes with	cover
eye	sees	darkness
train	pulls into	station
sun	sets in	west
car	parks on	street
dog	wags its	leash
computer	prints with	printer
car	accelerates on	wheels
river	flows under	bridge
book	turns with	page
door	opens with	doorknob
clock	strikes in	bell
chair	sits on	cushion
car	drives through	tunnel
eye	sees	beauty
tree	shades in	summer
pen	writes on	board
house	has	porch
sun	shines on	clouds
river	flows from	mountain
book	reads on	lap
car	stops on	brakes
bicycle	rides on	sidewalk
dog	barks at	intruder
house	has	mailbox
sun	shines in	garden
key	fits in	ignition
river	empties into	lake
book	holds on	shelf
sun	sets over	sea
car	accelerates on	hill
train	chugs along	tracks
book	reads on	table
car	brakes on	hill
car	drives through	intersection
book	reads on	couch
house	has	fireplace
river	flows to	ocean
book	holds on	hands
car	stops on	pavement
train	arrives at	station
book	contain	pages
car	drive	roads
flowers	bloom	garden
phone	make	calls
school	attend	students
doctor	treat	patients
hospital	have	equipment
key	unlock	door
teacher	teach	class
computer	process	data
game	play	players
sun	shine	sky
umbrella	protect	rain
music	listen	audience
restaurant	serve	food
city	have	buildings
train	carry	passengers
bike	ride	road
camera	capture	photos
house	have	rooms
bus	transport	people
hospital	admit	patients
tree	produce	fruits
farmer	cultivate	crops
pen	write	paper
painter	paint	canvas
pencil	draw	art
musician	play	instrument
singer	sing	song
writer	write	book
scientist	study	experiments
researcher	research	data
athlete	compete	games
manager	manage	team
politician	govern	country
chef	cook	meals
artist	create	art
engineer	design	buildings
programmer	code	software
architect	design	structures
pilot	fly	plane
musician	perform	concerts
teacher	educate	students
musician	compose	music
chef	prepare	dishes
artist	paint	masterpieces
dancer	dance	performances
athlete	train	sports
lawyer	practice	law
doctor	diagnose	diseases
teacher	grade	assignments
scientist	experiment	theories
engineer	invent	machines
musician	conduct	orchestra
artist	exhibit	art
chef	cater	events
manager	lead	team
pilot	navigate	seas
teacher	instruct	lesson
singer	harmonize	choirs
athlete	compete	olympics
writer	publish	novels
programmer	debug	code
scientist	observe	phenomena
engineer	build	bridges
artist	craft	sculptures
chef	taste	cuisine
manager	plan	schedules
teacher	mentor	students
musician	improvise	jazz
singer	perform	operas
lawyer	litigate	cases
doctor	prescribe	medication
teacher	grade	exams
researcher	analyze	data
scientist	discover	facts
engineer	construct	buildings
artist	portray	reality
chef	bake	pastries
manager	direct	meetings
teacher	supervise	classrooms
musician	compose	symphonies
singer	record	albums
athlete	practice	skills
writer	edit	manuscripts
scientist	research	hypothesis
engineer	design	gadgets
artist	sketch	portraits
chef	garnish	dishes
manager	manage	finances
pilot	land	planes
teacher	teach	language
musician	accompany	pianos
singer	harmonize	vocals
lawyer	negotiate	contracts
doctor	examine	patients
teacher	grade	essays
scientist	conduct	experiments
engineer	manufacture	products
artist	craft	pottery
chef	serve	meals
manager	hire	employees
teacher	mentor	apprentices
musician	perform	solos
singer	record	singles
athlete	train	endurance
writer	write	screenplays
programmer	test	code
scientist	classify	species
engineer	build	infrastructure
artist	paint	landscapes
chef	cook	bbq
manager	delegate	tasks
teacher	evaluate	progress
musician	practice	scales
singer	perform	musicals
lawyer	draft	contracts
doctor	perform	surgeries
teacher	assess	students
scientist	research	theories
engineer	maintain	equipment
chef	plate	dishes
manager	coordinate	logistics
book	contain	stories
school	have	students
dog	is a	pet
flower	need	water
key	open	locks
rain	brings	raincoats
bookshelf	hold	books
hammer	use for	nails
pencil	used for	writing
map	show	locations
clock	tells	time
hospital	treat	patients
knife	cut	meat
pen	write	letters
mirror	reflect	images
chair	sit on	people
fire	warm	houses
boat	sail on	water
box	contain	objects
ruler	measure	lengths
pencil sharpener	sharpen	pencils
table	have	chairs
clock	hang	walls
guitar	play	music
doctor	heal	sicknesses
train	travel on	rails
ladder	climb	high places
scissors	cut	paper
radio	listen to	music
teacher	teach	students
park	visit	children
keyboard	type	messages
stove	cook	food
bicycle	ride on	roads
picture	hang	walls
hospital	have	nurses
chair	need	legs
desk	have	drawers
bus	drive on	roads
chair	hold	people
pencil	color	pictures
piano	play	melodies
book	read	stories
doctor	give	medicines
school	have	teachers
house	have	doors
train	arrive	stations
car	have	engines
tree	provide	shade
chair	lean on	backs
car	travel on	highways
hospital	have	beds
piano	have	keys
desk	sit at	computers
bus	take	passengers
train	run on	tracks
chair	need	cushions
book	close	covers
hospital	treat	wounds
piano	play	chords
chair	support	backs
school	have	classrooms
train	stop	stations
pencil	erase	mistakes
house	have	windows
car	drive	safely
chair	have	seats
chair	lean on	armrests
bus	transport	luggage
chair	have	arms
chair	have	legs
train	travel	far distances
hospital	have	icus
bus	drive	slowly
chair	need	supports
car	have	tires
chair	sit on	cushions
school	have	playgrounds
piano	have	strings
chair	lean on	backrests
hospital	have	laboratories
bus	have	wheels
chair	need	maintenance
train	run	on time
chair	support	weight
school	have	libraries
bus	drive	defensively
chair	have	cushions
piano	play	harmonies
bus	transport	goods
chair	sit on	comfortably
car	have	fuel
chair	support	people
hospital	have	operating rooms
piano	have	pedals
chair	have	bases
bus	drive	carefully
hospital	have	staff
chair	need	repair
chair	support	heavy loads
car	travel	long distances
hospital	have	ambulances
bus	transport	passengers
chair	sit on	hard surfaces
chair	have	frames
school	have	cafeterias
car	made of	metal
computer	can do	calculations
bird	lives in	nest
piano	played by	musician
mountain	stands	tall
library	holds	books
river	flows	water
chair	sits on	people
doctor	treats	patients
engine	powers	car
city	has	skyscrapers
hospital	cures	illness
table	has	legs
bicycle	ridden	wheels
school	attends	students
garden	grows	plants
road	leads to	destination
pen	writes	letters
hospital	has	emergency
chair	needs	cushions
restaurant	serves	food
boat	sails	water
park	has	swings
hospital	diagnoses	patients
plane	flies	sky
school	has	classrooms
bridge	connects	land
ship	sails	ocean
train	has	locomotive
store	sells	goods
hotel	offers	accommodations
kitchen	cooks	meals
park	has	benches
car	uses	gasoline
school	teaches	subjects
hospital	performs	surgery
bridge	spans	river
car	needs	oil
house	has	basement
chair	needs	legs
car	uses	brakes
hospital	treats	injury
park	has	playground
ship	sails	seas
hospital	delivers	babies
park	has	picnic tables
train	has	passengers
house	has	attic
car	uses	gps
chair	has	cushions
train	travels	mountains
park	has	walking trails
computer	has	processor
school	teaches	math
bridge	connects	cities
house	has	bathroom
park	has	sports fields
hospital	diagnoses	illness
train	has	conductor
park	has	parking lot
car	uses	air conditioning
hospital	treats	patients
tree	provides	oxygen
school	teaches	history
train	travels	tunnels
house	has	electrical system
park	has	lake
computer	uses	ram
bridge	has	pillars
car	uses	fuel
chair	needs	seat
train	stops	town
house	has	plumbing
school	teaches	music
car	uses	air filter
computer	has	hard drive
hospital	has	doctors
house	has	hvac system
apple	grows on	tree
book	has	pages
hammer	used for	pounding
computer	runs on	software
key	fits into	lock
door	opens	house
teacher	teaches	student
bird	sings	morning
student	learns	school
cloud	produces	rain
pen	writes	paper
teacher	grades	student
hospital	provides	care
bus	carries	passengers
garden	needs	sun
book	tells	story
teacher	guides	student
pen	runs out	ink
river	feeds	fish
car	needs	fuel
student	does	homework
doctor	diagnoses	disease
book	reads	reader
teacher	evaluates	student
key	turns	ignition
plant	requires	sunlight
hospital	admits	patient
car	moves	speed
chair	has	back
key	locks	box
doctor	performs	surgery
garden	needs	pruning
bus	travels	route
computer	crashes	system
hospital	provides	treatment
pen	writes	signature
student	learns	lesson
hospital	has	staff
computer	runs	program
river	flows	gently
car	has	engine oil
key	opens	safe
garden	requires	care
hospital	has	rooms
car	driven by	passenger
student	takes	test
hospital	provides	equipment
computer	connects	printer
car	needs	insurance
river	creates	waterfall
doctor	examines	symptoms
bus	stops	station
garden	needs	watering
computer	stores	data files
chair	has	table
hospital	provides	emergency
car	needs	inspection
student	learns	from
doctor	prescribes	medication
bus	carries	luggage
river	flows	through
teacher	evaluates	performance
key	opens	door
garden	requires	nutrients
car	needs	brakes
chair	has	armchair
student	learns	about
computer	runs	software
river	forms	lake
doctor	diagnoses	condition
bus	travels	road
garden	needs	weeding
hospital	provides	facilities
car	needs	parking
student	takes	class
hospital	has	nurses station
glass	breaks	when it falls
book	read	by reader
car	travels	on road
dog	belongs	home
apple	grows	tree
door	closes	with a key
spoon	used for	eating
flower	needs	water
bicycle	rides	on roads
house	has	a roof
paint	used by	artist
train	travels	on tracks
river	flows	through land
guitar	played by	musician
cat	catches	mice
keychain	attached to	keys
bed	sleeps	at night
doctor	heals	patients
chair	has	four legs
garden	needs	sunlight
piano	produces	music
teacher	gives	lessons
river	empties	into ocean
fish	eats	food
student	learns	from teacher
bike	rides	on roads
house	has	a yard
dog	loves	its owner
cat	purrs	when happy
book	tells	a story
door	swings	open
chair	can	be moved
bike	has	a seat
train	goes	through tunnels
book	reads	by author
teacher	evaluates	students
pen	is	sharp
bus	has	a driver
cat	scratches	furniture
chair	can	be painted
dog	wags	its tail
book	is	borrowed
teacher	makes	a schedule
car	has	a license
river	supports	life
book	can	be signed
chair	is	sturdy
computer	has	a screen
train	carries	freight
bike	can	be locked
book	is	published
dog	is	trained
chair	can	be moved easily
teacher	gives	homework
car	has	a horn
river	flows	quickly
cat	is	cute
bike	has	a bell
house	has	a basement
book	has	a cover
car	needs	a filter
key	is	small
dog	loves	to run
train	has	a conductor
garden	needs	fertilizer
book	can	be copied
chair	is	comfortable
bike	can	be repaired
car	has	a gps
dog	is	loyal
river	is	calm
cat	is	playful
bike	can	be rented
book	has	a title
car	needs	oil change
teacher	evaluates	exams
garden	grows	vegetables
chair	can	be polished
dog	loves	to play
key	is	important
book	is	hardcover
bike	has	a saddle
car	needs	a spare tire
dog	is	happy
train	has	a engine
garden	requires	water
chair	can	be upholstered
computer	uses	a modem
book	contains	chapters
sun	shines	sky
tree	has	leaves
pencil	uses	paper
door	opens	hallway
chair	sits	people
bicycle	rides	roads
bird	builds	nest
cat	has	claws
hospital	heals	patients
car	drives	roads
river	connects	lake
bus	takes	passengers
piano	has	strings
clock	marks	time
key	presses	keyboard
tree	shades	ground
door	closes	noise
cat	purrs	loudly
table	has	surface
pen	holds	ink
river	flows	streams
piano	makes	sounds
bicycle	brakes	stops
school	has	classes
pen	marks	paper
car	turns	corners
river	meets	sea
clock	has	hands
bus	drives	routes
car	has	airbag
clock	shows	date
computer	has	mouse
hospital	has	beds
river	flows	currents
piano	plays	melodies
chair	holds	people
river	connects	cities
car	has	fuel
tree	grows	tall
piano	has	pedals
clock	strikes	hour
hospital	provides	medication
car	turns	steering
dog	wags	wagging
hospital	heals	wounds
tree	shades	area
computer	has	ram
book	reads	content
piano	plays	harmony
river	connects	ports
river	flows	rapidly
clock	strikes	midnight
bus	drives	bus stop
dog	has	fur
book	read	people
key	unlocks	lock
student	attends	school
teacher	teaches	class
bicycle	has	pedals
computer	needs	power
hammer	used for	hitting
teacher	has	students
room	has	furniture
car	driven on	road
door	closes	tightly
flower	planted in	garden
student	receives	grade
bicycle	has	wheels
car	has	brakes
computer	has	monitor
person	uses	phone
student	studies	subject
bicycle	has	chain
key	turns	handle
person	wears	clothes
car	has	horn
book	has	index
door	has	hinges
train	has	wheels
person	needs	sleep
house	has	yard
student	attends	exam
bicycle	has	bell
person	uses	glasses
book	has	bookmark
teacher	has	assistant
house	has	garage
door	has	handle
person	eats	food
teacher	has	lesson plan
car	has	seats
book	has	spine
bicycle	has	saddle
car	has	engine block
book	has	binding
computer	has	speakers
train	has	cargo
person	uses	wallet
book	has	illustrations
teacher	has	class schedule
bicycle	has	gears
person	wears	watch
house	has	staircase
book	has	glossary
door	has	lock
train	travels	speed
car	has	dashboard
book	has	table of contents
student	receives	report card
teacher	has	classroom
bicycle	has	kickstand
key	turns	screw
person	uses	microwave
house	has	insulation
car	has	trunk
book	has	index card
computer	has	printer
day	begins	night
fish	found in	ocean
wheel	part of	bicycle
knife	used for	chopping
phone	used for	calling
sun	shines on	earth
door	leads to	room
house	made of	bricks
river	flows into	sea
doctor	treats	patient
hospital	has	nurse
bird	sings	melody
river	surrounded by	trees
city	has	buildings
school	has	classroom
hospital	provides	medical care
nurse	cares for	patient
driver	wears	helmet
phone	has	screen
software	runs on	computer
river	has	fish
nest	contains	eggs
eggs	hatch into	chicks
information	is stored	database
database	is accessed	user
user	uses	computer
equipment	is used	doctor
doctor	uses	stethoscope
stethoscope	listens to	heartbeat
heartbeat	is heard	doctor
wheels	rotate	axles
axles	are connected	wheels
locomotive	pulls	train
car	has	parking brake
parking brake	stops	car
medicine	cures	disease
disease	is caused	virus
virus	infects	body
body	is protected	immune system
computer	has	virus
virus	spreads	computer
internet	connects	world
world	is connected	internet
emergency room	treats	emergency
emergency	requires	treatment
treatment	is given	doctor
patient	is diagnosed	doctor
airbag	protects	passenger
passenger	is protected	airbag
city	is surrounded	river
shade	gives	relief
relief	is felt	people
people	seek	shade
medical care	is given	doctor
doctor	has	stethoscope
heartbeat	is monitored	doctor
car	has	speedometer
speedometer	shows	speed
speed	is measured	speedometer
tracks	are laid	train
train	carries	cargo
cargo	is transported	train
headlights	shine	road
road	is lit	headlights
nurse	cares	patient
patient	receives	treatment
bird	flies with	wings
dog	is	pet
knife	cuts with	blade
school	teaches	students
eye	sees with	lens
fire	burns with	flames
table	holds	plates
bicycle	rides on	tires
hammer	hits with	head
piano	plays with	keys
bird	nests in	branches
house	lives in	people
pen	contains	paper
box	contains	package
tree	shades	garden
phone	rings with	bell
river	quenches	thirst
wheel	turns with	axis
table	serves	food
pen	draws with	lines
hospital	cares for	doctors
door	swings with	hinges
book	reads with	pages
car	accelerates with	gas
chair	leans on	back
eye	sees	colors
book	tells	stories
garden	waters	plants
table	holds	cups
eye	protects	eyes
pen	writes	notes
boat	sails across	sea
book	reads with	glasses
chair	rocks on	floor
eye	sees	shapes
river	flows through	mountains
car	breaks with	crash
pen	signs with	name
table	serves	meals
book	reads with	bookmark
garden	needs	water
eye	sees	brightness
chair	sits on	cushions
train	travels	miles
piano	sounds	notes
river	navigates	currents
pen	draws	sketches
