to sleep	entails	to be tired
to eat	entails	to be hungry
to rain	entails	to carry an umbrella
to study	entails	to learn
to drive	entails	having a license
to breathe	entails	to have a heart
to cook	entails	having a kitchen
to play sports	entails	wearing athletic shoes
to travel	entails	having a passport
to read a book	entails	having eyes
to write	entails	having a pen
to bake a cake	entails	having flour
to plant a garden	entails	having soil
to learn a language	entails	studying vocabulary
to be married	entails	having a wedding
to teach a class	entails	having students
to run a business	entails	having customers
to swim	entails	knowing how to float
to go to college	entails	having tuition
to be in love	entails	having feelings
to dance	entails	having rhythm
to be an artist	entails	having creativity
to learn a skill	entails	having patience
to be a historian	entails	knowing facts
to be a scientist	entails	conducting experiments
to be a lawyer	entails	knowing law
to write a song	entails	having melody
to be a coach	entails	knowing tactics
to be a writer	entails	having imagination
to be a musician	entails	having talent
to be a politician	entails	having voters
to be a teacher	entails	having experience
to write a report	entails	having data
to be a manager	entails	having employees
to drive a car	entails	having insurance
to vote	entails	participate in democracy
to study	entails	acquire knowledge
to have children	entails	be a parent
to graduate	entails	earn a degree
to have an argument	entails	feel angry
to buy a house	entails	pay mortgage
to take a break	entails	rest
to be a citizen	entails	follow laws
to travel far	entails	experience new cultures
to break a promise	entails	lose trust
to retire	entails	have a pension
to be fired	entails	lose job security
to get divorced	entails	end a marriage
to have a pet	entails	provide care
to take medicine	entails	feel better
to be in debt	entails	struggle financially
to be late	entails	face consequences
to have a friend	entails	socialize
to write a story	entails	be creative
to give a speech	entails	practice beforehand
to play music	entails	have musical skills
to get old	entails	experience life
to be happy	entails	smile
to build a house	entails	own property
to have a wedding	entails	exchange vows
to write a book	entails	share ideas
to take a picture	entails	preserve memories
to be on a team	entails	collaborate
to be in love	entails	feel romance
to have a dream	entails	chase it
to read a book	entails	gain knowledge
to give a gift	entails	show love
to be a teacher	entails	educate others
to have a phone	entails	stay connected
to play a game	entails	have fun
to have a business	entails	take risks
to be a doctor	entails	save lives
to sing in a choir	entails	harmon
to walk	entails	to move
to bake	entails	to have ingredients
to travel	entails	to pack
to buy	entails	to pay
to exercise	entails	to sweat
to go on vacation	entails	to relax
to cook	entails	to have a recipe
to attend school	entails	to have homework
to lose weight	entails	to diet
to get married	entails	to be engaged
to grow up	entails	to be older
to have a degree	entails	to graduate
to be in love	entails	to care
to be a musician	entails	to practice
to have a friend	entails	to socialize
to be a traveler	entails	to explore
to be a teacher	entails	to educate
to be a coach	entails	to motivate
to have a spa	entails	to relax
to be a historian	entails	to research
to be a dancer	entails	to perform
to have a library	entails	to
to wake up	entails	to be awake
to fly	entails	to have wings
to eat	entails	to digest
to be hungry	entails	to eat
to drive	entails	to have a car
to be late	entails	to rush
to be sad	entails	to cry
to be thirsty	entails	to drink
to be tired	entails	to rest
to be thirsty	entails	to drink water
to plant seeds	entails	to water them
to be hungry	entails	to eat food
to be healthy	entails	to exercise
to take a test	entails	to study
to be rich	entails	to have money
to be successful	entails	to work hard
to be tired	entails	to sleep
to be hungry	entails	to have food
to be stressed	entails	to take breaks
to be sick	entails	to take medicine
to retire	entails	to receive a pension
to graduate	entails	to have a degree
to be unemployed	entails	to struggle financially
to travel	entails	to see new places
to be ill	entails	to take medication
to be single	entails	to have freedom
to be old	entails	to have experience
to be happy	entails	to have joy
to be sad	entails	to feel depressed
to be rich	entails	to have wealth
to be poor	entails	to struggle financially
to be lonely	entails	to be isolated
to wake up	entails	being awake
to exercise	entails	getting tired
to eat	entails	being hungry
to cry	entails	being sad
to buy	entails	spending money
to grow	entails	getting older
to read	entails	knowing how to read
to graduate	entails	completing a degree
to get married	entails	being in love
to build	entails	having materials
to be late	entails	being behind schedule
to win	entails	being successful
to sing	entails	having a good voice
to break a promise	entails	losing trust
to paint	entails	having a brush
to be cold	entails	needing a coat
to be fired	entails	losing a job
to vote	entails	being a citizen
to learn	entails	getting educated
to fail	entails	making mistakes
to get divorced	entails	having marital problems
to play sports	entails	having a team
to retire	entails	being old
to invest	entails	making money
to make a promise	entails	keeping it
to take a risk	entails	being uncertain
to have children	entails	being a parent
to pay taxes	entails	earning money
to create art	entails	being creative
to grow up	entails	becoming mature
to take a break	entails	needing rest
