terrier	is a type of	dog
tulip	is a kind of	flower
oak	is a species of	tree
honda	is a brand of	car
thriller	is a genre of	movie
violin	is a type of	instrument
smartphone	is a type of	phone
elephant	is a species of	mammal
symphony	is a genre of	music
ferrari	is a brand of	car
pineapple	is a type of	fruit
guitar	is a type of	instrument
laptop	is a type of	computer
dolphin	is a type of	mammal
trumpet	is a type of	instrument
mercedes	is a brand of	car
strawberry	is a type of	berry
piano	is a type of	keyboard
pineapple	is a type of	tropical fruit
clarinet	is a type of	woodwind instrument
toyota	is a brand of	car
saxophone	is a type of	woodwind instrument
kiwi	is a type of	fruit
yamaha	is a brand of	musical instrument
peach	is a type of	stone fruit
accordion	is a type of	folk instrument
toyota	is a brand of	automobile
accordion	is a type of	portable keyboard
clarinet	is a type of	wind instrument
saxophone	is a type of	brass instrument
tuba	is a type of	brass instrument
kiwi	is a type of	small fruit
cello	is a type of	string instrument
opera	is a genre of	musical theater
honda	is a brand of	motorcycle
oboe	is a type of	woodwind instrument
trombone	is a type of	brass instrument
flute	is a type of	woodwind instrument
trombone	is a type of	slide instrument
opera	is a genre of	performing arts
opera	is a genre of	classical music
violin	is a type of	string instrument
piano	is a type of	acoustic instrument
peach	is a type of	juicy fruit
tuba	is a type of	large instrument
saxophone	is a type of	brasswind instrument
kiwi	is a type of	green fruit
guitar	is a type of	string instrument
violin	is a type of	stringed instrument
cello	is a type of	orchestral instrument
piano	is a type of	musical keyboard
piano	is a type of	digital instrument
cello	is a type of	musical instrument
opera	is a genre of	musical production
tuba	is a type of	orchestral instrument
piano	is a type of	electronic instrument
opera	is a genre of	theatrical performance
saxophone	is a type of	musical instrument
violin	is a type of	orchestral instrument
opera	is a genre of	classical theatre
piano	is a type of	electronic keyboard
violin	is a type of	bowed instrument
labrador	is a type of	dog
macbook	is a brand of	computer
porsche	is a brand of	car
samsung	is a brand of	phone
ferrari	is a brand of	racing car
toyota camry	is a model of	car
google	is a brand of	search engine
tesla	is a brand of	electric car
sony	is a brand of	electronics
cadillac	is a brand of	car
ford mustang	is a model of	car
volkswagen	is a brand of	car
