bee	member of	swarm
fish	part of	school
tree	part of	forest
book	part of	library
student	member of	class
drop	part of	waterfall
pixel	part of	image
voice	part of	chorus
line	part of	poem
thread	part of	sweater
stone	part of	mountain
voice	part of	opera
cell	part of	blood
word	part of	sentence
star	part of	constellation
finger	part of	glove
foot	part of	shoe
grain	part of	rice
beam	part of	ship
drop	part of	dew
thread	part of	carpet
line	part of	grid
voice	part of	ensemble
cell	part of	liver
part	part of	whole
petal	part of	daisy
ray	part of	beam
thread	part of	tapestry
leaf	part of	sprig
cell	part of	bone
finger	part of	fingerless glove
drop	part of	fountain
cell	part of	kidney
line	part of	horizon
beam	part of	arch
foot	part of	sock
ray	part of	light
cell	part of	nerve
wave	part of	tide
finger	part of	handkerchief
stone	part of	mountain range
thread	part of	web
limb	part of	skeleton
voice	part of	choir
nail	part of	shoe horn
beam	part of	girder
drop	part of	geyser
ray	part of	spectrum
thread	part of	cloth
line	part of	border
cell	part of	bone marrow
wave	part of	storm
finger	part of	handprint
voice	part of	orchestra
string	part of	instrument
cell	part of	skin
line	part of	map
petal	part of	rosebush
beam	part of	framework
limb	part of	body part
nail	part of	claw
drop	part of	dewdrop
cell	part of	pancreas
ray	part of	sunbeam
thread	part of	embroidery
branch	part of	orchard
line	part of	shoreline
voice	part of	concert
wave	part of	ocean current
petal	part of	flowerbed
car	member of	convoy
employee	member of	company
ship	member of	fleet
runner	member of	team
wave	part of	surf
student	part of	university
member	part of	society
soldier	member of	army
fish	member of	aquarium
car	part of	traffic
book	part of	bookstore
note	part of	melody
hand	part of	glove
leaf	part of	garden
part	part of	mechanism
student	member of	club
part	part of	system
person	member of	family
piece	part of	painting
person	part of	community
rock	part of	cave
fish	member of	school
ship	member of	navy
person	member of	organization
wave	part of	lake
tree	part of	wood
part	part of	assembly
word	part of	phrase
student	member of	school
finger	part of	fingerboard
stone	part of	quarry
car	member of	parade
piece	part of	game
brick	part of	arch
member	part of	team
bee	member of	colony
part	part of	engine
person	member of	group
note	part of	scale
hand	part of	handbag
student	member of	program
cell	part of	organ
person	member of	team
part	part of	machine
piece	part of	art
stone	part of	wall
member	part of	committee
student	member of	course
tree	part of	stand
eye	part of	skull
branch	part of	branchlet
book	part of	collection
leaf	part of	limb
person	member of	crew
stone	part of	path
part	part of	device
person	member of	association
tree	part of	orchard
note	part of	tune
stone	part of	boulder
bee	member of	hive
person	member of	network
cell	part of	gland
astronaut	part of	mission
bird	member of	flock
dog	member of	pack
car	part of	convoy
student	member of	cohort
artist	part of	troupe
fish	part of	shoal
ship	part of	armada
tree	part of	grove
musician	part of	ensemble
athlete	member of	team
car	part of	caravan
pilot	part of	crew
engineer	part of	team
soldier	member of	battalion
actor	part of	cast
plane	part of	formation
singer	part of	choir
writer	member of	collective
sailor	part of	fleet
engineer	member of	squad
musician	part of	orchestra
dancer	member of	troupe
scientist	part of	research team
doctor	member of	hospital staff
soldier	member of	platoon
student	member of	year group
employee	part of	department
teacher	member of	faculty
researcher	part of	lab
musician	part of	band
police officer	member of	force
engineer	part of	project team
actor	member of	ensemble
bird	part of	murder
musician	part of	quartet
engineer	member of	workforce
athlete	part of	squad
ship	part of	fleet
car	part of	procession
pilot	member of	flight crew
artist	part of	collective
musician	part of	symphony
soldier	member of	regiment
car	part of	motorcade
sailor	part of	crew
employee	part of	organization
writer	member of	writing group
doctor	member of	medical staff
bird	part of	skein
engineer	member of	team
ship	part of	squadron
pilot	member of	crew
actor	member of	cast
musician	part of	choir
employee	part of	staff
athlete	part of	team
singer	part of	ensemble
actor	member of	troupe
artist	member of	collective
sailor	member of	crew
musician	member of	symphony
bird	member of	murder
athlete	member of	squad
soldier	part of	army
sheep	member of	flock
employee	member of	team
musician	member of	band
engineer	member of	project
journalist	member of	press
doctor	member of	staff
singer	member of	chorus
frog	member of	group
writer	member of	team
architect	part of	team
traveler	part of	group
businessman	part of	company
firefighter	part of	brigade
farmer	member of	community
runner	part of	relay
artist	member of	gallery
politician	part of	government
scientist	member of	institution
officer	part of	department
worker	part of	labor force
professor	member of	department
activist	part of	movement
researcher	part of	team
explorer	member of	expedition
designer	part of	design team
musician	member of	orchestra
researcher	member of	research team
scientist	member of	lab
businessman	member of	board
manager	part of	management team
singer	member of	quartet
doctor	part of	medical team
traveler	member of	tour group
singer	part of	chorus
actor	part of	ensemble
musician	member of	group
artist	part of	cooperative
singer	member of	choir
writer	part of	writing group
scientist	part of	research group
engineer	part of	construction team
musician	part of	jazz band
explorer	part of	expedition team
teacher	member of	school staff
doctor	part of	medical staff
businessman	member of	company board
singer	member of	rock band
artist	part of	art collective
musician	member of	musical group
traveler	member of	caravan
scientist	member of	research institute
officer	part of	security team
teacher	member of	faculty staff
actor	part of	theater company
sailor	part of	naval crew
athlete	part of	sports team
singer	member of	singing group
musician	part of	jazz ensemble
artist	part of	art gallery
doctor	member of	healthcare team
writer	part of	writing collective
scientist	part of	scientific community
firefighter	part of	fire department
traveler	part of	tour group
singer	member of	musical theater company
researcher	member of	academic department
engineer	part of	engineering team
musician	part of	music group
doctor	part of	medical department
actor	part of	theater cast
artist	part of	art movement
officer	part of	military unit
traveler	member of	expedition team
singer	member of	singing troupe
scientist	part of	scientific institution
doctor	part of	hospital staff
businessman	member of	business community
teacher	member of	educational institution
droplet	part of	ocean
sheep	member of	herd
car	part of	fleet
person	member of	community
grain	part of	harvest
molecule	part of	compound
stone	part of	monument
wave	part of	wavefront
note	part of	symphony
fish	part of	aquarium
component	part of	device
grain	part of	cereal
star	member of	constellation
note	part of	composition
molecule	part of	blood
element	part of	set
unit	part of	army
component	part of	machine
ray	part of	sunlight
branch	part of	network
droplet	part of	spray
component	part of	vehicle
piece	part of	jigsaw
