serene	similar to	peaceful
to be healthy	entails	to live longer
good habits	build	resilience
young	fresh	youthful
teacher	teaches	art
bad	similar to	objectionable
discipline	breeds	respect
to compose	entails	having a plan
basket	and	hamper
lug	is a component of	hammer
to have a job	entails	getting paid
cold	chilly	nippy
road	is a general term for	highway
mumble	is a way to	stammer
election	before	outcome
thought	before	creation
smash	is a way to	crush
musician	plays	instrument
to be a boss	entails	managing employees
child	on	rocking horse
bee	part of	swarm
eye	similar to	spectacles
full	opposite of	meagerly
tragedy	is a genre of	play
river	supplies	hydroelectric power
car	similar to	speedy vehicle
jot	is a way to	write
to become a teacher	entails	teaching students
owl	has	wisdom
chef	roasts	meats
sow	before	ripeness
dog	on	boat
flower	above	tree
boring	similar to	dull
architect	designs	buildings
to go to jail	entails	losing freedom
hospital	has	radiology
desperation	has	panic
computer error	includes	bug
farmer	before	autumn
calm	opposite of	frantic
politician	covers	president
morning routine	before	evening routine
liver function	similar to	detoxifier
to achieve success	entails	hard work
airbus	is a manufacturer of	commercial aircraft
trek	is a way to	walk
clear conscience	opposite of	guilty conscience
mother	teaches	responsibility
smallish	similar to	petite
government official	includes	governor
water	cools	the body
clip	is a part of	electronic device
be a student	entails	study
symphony	is a type of	orchestral music
bus	stops at	station
lamp	and	shade
sunshine	has	warmth
seed	similar to	growth stimulator
body	similar to	whole system
to lose a loved one	entails	grieving
practice	develops	discipline
study	before	research
pineapple	is a type of	treat
landscape	includes	desert
soap	and	bubble
to learn a language	entails	to communicate
to own a boat	entails	nautical knowledge
journalist	investigates	corruption
sunlight	warms	objects
practice	improves	musicianship
sky	similar to	limitless space
wind	and	weather
death	and	end
highly cooperative	opposite of	uncooperative
chef	serves	dishes
shakespearean	is a type of	poet
light	and	beam
company	encompasses	technology company
good supplier	opposite of	bad supplier
planting	before	flowers blooming
good condition	opposite of	bad condition
foot	similar to	stepping ground
vein	similar to	blood vessel
fin	is a component of	airplane
industry	includes	pharmaceutical industry
to get a job interview	entails	applying
book	encompasses	thesis
handle	is a component of	luggage
book	and	study
to make a video	entails	editing software
short story	is a type of	literature
certain about	opposite of	uncertain about
chair	can	be painted
yell	is a way to	shout
person	laughs with	joy
cold water	reduces	inflammation
boy	on	seesaw
river	has	life
seed	before	tree
summary	and	write
brick	has	hardness
fashion brand	includes	louis vuitton
simple explanation	opposite of	complex solution
university	categorizes	institution
key	on	board
musician	classifies	flautist
person	part of	organization
sand dune	has	softness
string	is a component of	violin
bird	recognizes	patterns
ferrari	is a luxury	car
driveshaft	is a component of	car
stride	is a way to	walk purposefully
scallop	is a type of	shellfish
sage	is a type of	herb
piano	similar to	keyboard
blade	is a component of	sword
athlete	is a type of	marathon runner
moon	above	earth
button	part of	panel
bird	flying	air
old	opposite of	antiquated
wool	has	odor
complete	whole	entire
writer	narrates	stories
fawn	is a way to	plead
take	before	advantage
practice	reduces	errors
sand	has	dryness
door	is a part of	building
day	precedes	night
flower	can	bloom
sleep	rejuvenates	mind and body
musician	part of	chamber music group
threat	and	warning
confusing	similar to	perplexing
hard	tough	rigorous
shop	and	price
exercise	increase	overall health
easy	to	get
paint	similar to	dye
sailor	member of	naval crew
sun	rises	sunrise
launch	before	deployment
volkswagen	is a german	car company
seed	before	bloom
box	under	shelf
computer	includes	keyboard
school	covers	classroom
elaborate	opposite of	simple
beaver	constructs	dams
roar	is a way to	yell
book	has	knowledge
conception	before	invention
small	similar to	insignificant
nike	is a brand of	golf clubs
wood	has	beauty
sleep	enhances	memory
short road	similar to	path
makeup artist	applies	makeup
stretch	is a way to	move
consistent practice	develops	skills
hospital	categorizes	surgery
belch	is a way to	swallow
resilient	opposite of	fragile
exercise	reduces	risk of certain eye diseases
case	is a part of	phone
flower	similar to	delicate beauty
fiber	is a part of	fabric
copper coin	has	value
poet	recites	elegies
teacher	uses	computer
cold	glacial	icy
originality	opposite of	unoriginality
voice	similar to	song
tree	similar to	giant organism
computer	on	workstation
tree	shades	birds
training	before	victory
scholar	member of	academy
creation	precedes	manifestation
bicycle	brakes on	wheels
music	includes	heavy metal
gear	part of	engine block
steel	has	weldability
honeycomb	has	honey production
person	talking	phone
eye	sees	details
chair	placed on	table
storm	after	clear sky
pencil	inside	pencil case
smoking	lead to	lung cancer
cotton	has	breathability
bright	luminous	resplendent
iolite	has	blue color
coupe	is a type of	convertible
girl	in	hotel
education	breaks	social barriers
land	and	touch
soap	has	power
botanist	researches	plants
rock	part of	rockfall
flail	is a way to	swing
expansion	opposite of	recession
to be scared	entails	feeling nervous
store	and	payment
anxious	similar to	apprehensive
intelligent	similar to	knowledgeable
country	covers	metropolis
spring	after	rain
bird	perched	fencepost
wood fibers	has	porosity
consistent practice	develops	talent
novel	similar to	long story
rich in knowledge	opposite of	uninformed
piano	is a type of	instrument
museum	and	art
smart phone	has	connectivity
river	has	flow speed
unity of mind	opposite of	mental separation
sun	after	eclipse
easy	opposite of	tough
fairness	and	balance
human	explores	new worlds
software	categorizes	google
bookstore	includes	walmart
shine	is a way to	make bright
house	heated by	radiator
mental stimulation	prevents	boredom
reading	expands	knowledge
tree trunk	similar to	elephant leg
birds	fly with	wings
tornado	is a type of	storm
chef	prepares	snacks
cylinder block	is a component of	engine
amble	is a way to	meander
horror novel	is a type of	book
instrument	encompasses	violin
to play chess	entails	using a board
tilt	is a way to	lean
screw	is a component of	engine
trial	before	verdict
flute mouthpiece	is a part of	flute
ice	forms	frost
lake	stores	nutrients
brain	similar to	manager
to be retired	entails	have leisure time
leg	similar to	wheel
fin	is a part of	helicopter
road	drives on	car
beautiful music	opposite of	bad music
watering	supports	plant development
happy to see you	similar to	delighted
ball	in	goal
wool socks	has	warmth
severe	similar to	harsh
effective communication	builds	strong relationships
womb	similar to	incubator
precise model	opposite of	imprecise model
slow	similar to	glacial
river	flows	into lake
mind	similar to	cognitive ai
police officer	arrests	suspect
car	driven on	pavement
chef	seasonings	food
voting	participates	democracy
old house	similar to	ancient mansion
eating	provides	satisfaction
rule	and	law
car tire	similar to	wheel
industry	covers	technology
to exercise	entails	fitness
taillight	is a part of	car
lounge	is a way to	rest
darkness	before	morning
kidneys	similar to	filters for water
historian	preserves	archives
box	beside	window
rock	and	boulder
to start a charity	entails	giving back
glance over	is a way to	look
good communication	builds	relationships
large	similar to	immense
car engine	similar to	animal heart
soft	similar to	hushed
mediator	resolves	conflicts
university	publishes	research
books	read by	people
snake	above	mountain
high	and	mountains
ball	on	table
being assertive	communicate	needs
coral polyps	build	reef
engineer	member of	software development team
roof	similar to	canopy
snoop	is a way to	investigate
book	read before	bed
to get a promotion	entails	higher responsibility
bird	on	wire
beautiful landscape	opposite of	dull landscape
airline	includes	charter
march	is a way to	tramp
car	in	dock
to be in debt	entails	making payments
scratch	is a way to	cut
bag	in	luggage rack
homegrown	opposite of	imported
camera	and	photograph
fabric printing	has	uniqueness
eyes	similar to	vision organs
quiet	hushed	silent
precise equipment	opposite of	outdated equipment
to be a counselor	entails	giving advice
architect	sketches	blueprints
house	has	foundation
harvesting	before	sowing
mental stimulation	prevents	cognitive decline
column	part of	building
chopin	is a famous	composer
flowers	watered by	rain
wind	carry	seeds
vaccines	protect	communities
roof	part of	house
swoon	is a way to	succumb
software	categorizes	google drive
teaching	educates	adults
bird	nesting	nest
classroom	and	desks
smart investment	generates	returns
forest	similar to	ecosystem
man	beside	ocean
keen	opposite of	apathetic
man	beside	piano
database	is accessed	user
heart	and	soul
nurse	assist	doctor
computer	is a general term for	laptop
stride	is a way to	walk steadily
snow	during	winter
night	before	first light
flowers	bloom	in gardens
mathematician	member of	mathematical society
leg	part of	furniture
tree	similar to	skyscraper in a forest
dog	above	grass
darkness	promotes	mystery
headlights	shine	road
rain	before	showers
peck	is a way to	probe
cat	has	cunning
shoulder	and	broad
be a firefighter	entails	saving lives
computer	has	hard drive
girl	near	river
fast sale	opposite of	slow sale
music	has	harmony
prod	is a way to	push
violin solo	is a type of	performance
cinnamon stick	has	warmth
cimbalom	is a type of	percussion instrument
empty	opposite of	filled
ream	is a way to	sew
dull	dull	uninspiring
steel	has	chemical resistance
gear	is a component of	locomotive
car engine	similar to	airplane engine
box	in	packing crate
sail	and	wind
quick	speedy	prompt
euphoniumist	is a type of	musician
cloud	similar to	storm
dawn	before	noon
natural environment	opposite of	artificial environment
train	and	travel
woman	in	gallery
musical instrument	similar to	tool of creativity
flugelhornist	is a type	musician
music	genre includes	rock
keychain	keeps	keys
police	and	car
piston	is a part of	engine
to buy insurance	entails	to be protected
whale	communicates	clicks
guitar player	is a type of	musician
unpleasant view	similar to	unappealing
to vote	entails	being registered
vein	similar to	tube
type of bird	includes	parrot
firefox	is a browser of	internet
athlete	part of	competition
to make a will	entails	estate planning
therapist	counsels	client
to have a compass	entails	to navigate
climate	and	environment
member	part of	task force
kneel	is a way to	crouch
car	has	headlights and taillights
artist	designs	logo
car	accelerates with	speed
bassoonist	is a type of	musician
to be a carpenter	entails	building furniture
book	beside	radio
eye	similar to	eye of an eagle
detained	and	imprisoned
barber	cuts	hair
tree	has	longevity
learn	before	improve
big	immense	gigantic
singer	and	duet
book	on	desk calendar
to cook food	entails	using a stove
ketchup	is a type of	condiment
hallway	leads	room
to get a visa	entails	traveling abroad
piece	part of	craft
software	program includes	chrome
woodblock print	has	texture
trust	and	reliability
fish	part of	school
apple	in	fruitbowl
seedling	after	growth
voting	influences	public policy
rainbow	has	colorfulness
felt hat	has	warmth
idea generation	before	product development
to go to the gym	entails	exercising
learning	before	achievement
wolf	howls	in the night
river	connects	ports
poverty	leads to	inequality
to get a credit card	entails	debt
musician	composes with	notes
season	encompasses	spring
full	similar to	replete
finger	part of	piano
social	opposite of	antisocial
car	and	wheel
apple	and	fruit
to forgive	entails	letting go of anger
to have a plane	entails	to fly
bee	communicates	pheromones
snake	has	venom
knop	is a part of	screwdriver
to be busy	entails	work hard
silver	and	lining
intelligent	wise	discerning
research	after	experiment
plane	has	safety
lavender	has	therapeutic
factory worker	similar to	skilled laborer
to take a test	entails	preparing beforehand
brain	similar to	thinking tool
to be an adult	entails	to vote
wobble	is a way to	lose balance
days	similar to	pages in a book
chick	before	bird
sandstorm	similar to	blinding fury
quartz crystal oscillator	has	accuracy
kale	is a type of	vegetable
flower	part of	bouquet of flowers
a supportive community	provides	encouragement
exercise	enhances	brain development
friendship	brings	joy
to read a book	entails	gain knowledge
school	and	campus
modernistic	similar to	innovative
artist	painter is	van gogh
historian	part of	historical commission
good	and	bad
ideal	opposite of	realistic
firework	has	colorfulness
foot	part of	footpath
clean	similar to	tidy
reflective surface	similar to	polished metal
musician	and	sing
mathematician	solves	problems
social activity	includes	exercise
raindrop	nourishes	plant
bird	migrates to	winter
learning	before	progress
restaurant	is a type of	cafe
bag	on	chair
to be a doctor	entails	knowing medicine
dash	is a way to	scurry
factory	similar to	warehouse
learning	before	insight
bone	similar to	framework
toy	in	cabinet
key	part of	bunch
civilized	similar to	cultured
gold	has	durability
jolt	is a way to	shock
regular exercise	improve	cardiovascular health
sleep	helps	memory consolidation
fertilizer	improves	soil quality
strong	robust	herculean
nurse	heals	wounds
gear wheel	is a component of	gear
accordionist	is a type of	performer
pin	is a part of	joint
cooperation	opposite of	opposition
authentic	opposite of	artificial
to be single	entails	freedom and independence
storm	after	rain
person	in	crowd
motivation	drives	innovation
mitochondria	similar to	cellular powerhouses
parade	is a way to	march
geranium	is a type of	flower
key	similar to	authentication key
base	is a component of	column
trust	builds	intimacy
thriller	is a type of	mystery
floor	and	tile
movie	includes	drama
minds	similar to	calculators
lawyer	before	verdict
precision	opposite of	irrationality
meditation	reduce	anxiety
rain	causes	puddle
music	includes	genre
hotel	and	bed
proper care	leads to	satisfaction
to get a grant	entails	meeting requirements
athlete	competes	sports
night	and	day
country	includes	france
opera libretto	is a type of	script
rattle	is a way to	make noise
swoon	is a way to	lose
timid	opposite of	brave
tongue	is a part of	mouth
