big	similar to	large
happy	similar to	joyful
fast	similar to	quick
intelligent	similar to	smart
difficult	similar to	hard
old	similar to	aged
young	similar to	youthful
quiet	similar to	silent
cold	similar to	icy
expensive	similar to	costly
beautiful	similar to	lovely
angry	similar to	irate
busy	similar to	hectic
soft	similar to	gentle
sharp	similar to	pointed
loud	similar to	boisterous
strong	similar to	robust
sweet	similar to	sugary
clear	similar to	transparent
bright	similar to	radiant
short	similar to	brief
simple	similar to	uncomplicated
green	similar to	verdant
slow	similar to	sluggish
deep	similar to	profound
happy	similar to	elated
difficult	similar to	challenging
new	similar to	novel
cold	similar to	frigid
bright	similar to	shining
big	similar to	enormous
old	similar to	antique
fast	similar to	rapid
beautiful	similar to	exquisite
loud	similar to	deafening
strong	similar to	powerful
quiet	similar to	still
simple	similar to	easy
sweet	similar to	delicious
slow	similar to	lethargic
happy	similar to	blissful
difficult	similar to	complicated
new	similar to	modern
cold	similar to	chilly
beautiful	similar to	stunning
big	similar to	gigantic
old	similar to	venerable
happy	similar to	euphoric
quiet	similar to	quieted
soft	similar to	delicate
fast	similar to	swift
short	similar to	briefest
simple	similar to	straightforward
bright	similar to	sparkling
green	similar to	lush
difficult	similar to	tough
cold	similar to	glacial
strong	similar to	muscular
beautiful	similar to	gorgeous
happy	similar to	cheerful
quiet	similar to	hushed
slow	similar to	sluggishness
sweet	similar to	tasty
short	similar to	concise
difficult	similar to	demanding
new	similar to	innovative
fast	similar to	speedy
big	similar to	massive
old	similar to	agedly
loud	similar to	earsplitting
beautiful	similar to	captivating
strong	similar to	robustly
difficult	similar to	knotty
happy	similar to	thrilled
quiet	similar to	tranquil
soft	similar to	fluffy
fast	similar to	brisk
short	similar to	abbreviated
simple	similar to	elementary
bright	similar to	luminous
green	similar to	emerald
cold	similar to	wintry
beautiful	similar to	picturesque
difficult	similar to	obstinate
quiet	similar to	serene
slow	similar to	slowest
big	similar to	enormousness
old	similar to	antiquated
beautiful	similar to	resplendent
loud	similar to	thunderous
strong	similar to	forceful
simple	similar to	uncomplicatedly
green	similar to	verdurous
difficult	similar to	formidable
happy	similar to	delighted
quiet	similar to	peaceful
new	similar to	recent
fast	similar to	expeditious
big	similar to	giganticness
old	similar to	elderly
hot	similar to	scorching
rich	similar to	affluent
long	similar to	extended
small	similar to	tiny
new	similar to	fresh
nice	similar to	pleasant
good	similar to	excellent
dark	similar to	shadowy
happy	similar to	merry
cold	similar to	frosty
good	similar to	fine
old	similar to	vintage
small	similar to	compact
happy	similar to	upbeat
rich	similar to	wealthy
new	similar to	contemporary
good	similar to	superior
happy	similar to	jubilant
long	similar to	extensive
new	similar to	modernized
small	similar to	petite
beautiful	similar to	breathtaking
old	similar to	ancient
good	similar to	commendable
happy	similar to	ecstatic
short	similar to	curt
big	similar to	immense
rich	similar to	prosperous
bright	similar to	dazzling
old	similar to	historical
simple	similar to	plain
small	similar to	miniature
rich	similar to	opulent
beautiful	similar to	charming
old	similar to	outdated
sweet	similar to	luscious
long	similar to	prolonged
good	similar to	satisfactory
short	similar to	abrupt
difficult	similar to	rigorous
new	similar to	spanking
old	similar to	classic
small	similar to	diminutive
rich	similar to	luxurious
bright	similar to	vibrant
old	similar to	archaic
difficult	similar to	trying
small	similar to	minuscule
good	similar to	commendatory
simple	similar to	basic
complex	similar to	intricate
easy	similar to	effortless
hard	similar to	tough
weak	similar to	frail
quick	similar to	rapid
modern	similar to	contemporary
bad	similar to	poor
perfect	similar to	flawless
long	similar to	lengthy
high	similar to	towering
low	similar to	minimal
dull	similar to	dim
clean	similar to	spotless
dirty	similar to	filthy
murky	similar to	opaque
warm	similar to	cozy
sharp	similar to	keen
dull	similar to	blunt
fasten	similar to	secure
unfasten	similar to	release
precise	similar to	accurate
imprecise	similar to	vague
loudspeaker	similar to	megaphone
modernized	similar to	renovated
traditional	similar to	conventional
ancient	similar to	historical
recent	similar to	fresh
outdated	similar to	obsolete
noisy	similar to	loud
straightforward	similar to	direct
complicated	similar to	convoluted
ancient	similar to	old
excited	similar to	thrilled
famous	similar to	renowned
good	similar to	nice
huge	similar to	massive
quick	similar to	fast
powerful	similar to	strong
expensive	similar to	pricey
interesting	similar to	fascinating
large	similar to	giant
smart	similar to	intelligent
dark	similar to	gloomy
fresh	similar to	new
bad	similar to	terrible
cold	similar to	freezing
young	similar to	immature
difficult	similar to	arduous
good	similar to	wonderful
big	similar to	colossal
bad	similar to	awful
good	similar to	pleasing
young	similar to	juvenile
good	similar to	super
hot	similar to	sweltering
difficult	similar to	grueling
good	similar to	fantastic
busy	similar to	frantic
big	similar to	humongous
bad	similar to	deplorable
good	similar to	marvelous
fast	similar to	prompt
old	similar to	fossilized
good	similar to	great
difficult	similar to	tiresome
expensive	similar to	luxurious
busy	similar to	active
beautiful	stunning	gorgeous
happy	joyful	cheerful
fast	quick	swift
intelligent	smart	intelligent
difficult	hard	challenging
old	aged	elderly
cold	chilly	frosty
small	tiny	miniature
new	modern	contemporary
loud	noisy	boisterous
simple	basic	elementary
bright	vibrant	radiant
rich	wealthy	affluent
strong	powerful	robust
gentle	kind	tender
happy	blissful	euphoric
large	enormous	gigantic
slow	sluggish	lethargic
complex	complicated	intricate
young	juvenile	youthful
long	extended	protracted
calm	peaceful	serene
bright	shining	luminous
sweet	lovely	delightful
big	massive	enormous
soft	gentle	delicate
quick	agile	nimble
old	antiquated	archaic
