whisper	is a way to	speak
jog	is a way to	run
chuckle	is a way to	laugh
scribble	is a way to	write
slouch	is a way to	sit
saunter	is a way to	walk
stumble	is a way to	walk
creep	is a way to	move
tiptoe	is a way to	walk
hurry	is a way to	move
gallop	is a way to	run
trudge	is a way to	walk
amble	is a way to	walk
skip	is a way to	walk
dash	is a way to	run
sprint	is a way to	run
waddle	is a way to	walk
hop	is a way to	jump
sway	is a way to	dance
sway	is a way to	move
glide	is a way to	move
lunge	is a way to	jump
bounce	is a way to	move
stumble	is a way to	run
hop	is a way to	skip
prance	is a way to	walk
trip	is a way to	fall
lurch	is a way to	walk
lurch	is a way to	run
careen	is a way to	move
spin	is a way to	turn
pirouette	is a way to	turn
dance	is a way to	move
stroll	is a way to	walk
pace	is a way to	walk
march	is a way to	walk
shuffle	is a way to	walk
trample	is a way to	walk
trot	is a way to	run
canter	is a way to	run
pace	is a way to	run
rush	is a way to	move
scurry	is a way to	move
hasten	is a way to	move
hasten	is a way to	run
accelerate	is a way to	move
speed	is a way to	move
hasten	is a way to	walk
creep	is a way to	walk
crouch	is a way to	sit
lounge	is a way to	sit
sit	is a way to	rest
sprawl	is a way to	lie
sprawl	is a way to	sit
sprawl	is a way to	fall
sprawl	is a way to	stretch
huddle	is a way to	sit
cringe	is a way to	sit
bend	is a way to	sit
lean	is a way to	sit
stoop	is a way to	sit
lounge	is a way to	rest
recline	is a way to	sit
slump	is a way to	sit
lounge	is a way to	sleep
nod	is a way to	sleep
snore	is a way to	sleep
snore	is a way to	breathe
wheeze	is a way to	breathe
gasp	is a way to	breathe
pant	is a way to	breathe
inhale	is a way to	breathe
exhale	is a way to	breathe
blow	is a way to	breathe
puff	is a way to	breathe
choke	is a way to	breathe
whisper	is a way to	talk
scribble	is a way to	draw
mumble	is a way to	speak
snicker	is a way to	laugh
creep	is a way to	sneak
stagger	is a way to	walk
frown	is a way to	look
scrawl	is a way to	write
whisper	is a way to	share
lurch	is a way to	move
skip	is a way to	run
tiptoe	is a way to	move
screech	is a way to	shout
glance	is a way to	look
lilt	is a way to	walk
limp	is a way to	walk
muddle	is a way to	think
whisper	is a way to	confide
creep	is a way to	move quietly
stroll	is a way to	amble
scrawl	is a way to	write carelessly
murmur	is a way to	speak
trudge	is a way to	walk slowly
whisper	is a way to	hint
stumble	is a way to	walk clumsily
slouch	is a way to	lean
skip	is a way to	jump
mumble	is a way to	communicate
creep	is a way to	sneak around
tiptoe	is a way to	move quietly
scribble	is a way to	sketch
lurch	is a way to	move suddenly
glance	is a way to	notice
snicker	is a way to	laugh quietly
trudge	is a way to	drag
screech	is a way to	cry out
lilt	is a way to	walk lightly
frown	is a way to	scowl
whisper	is a way to	share secrets
dash	is a way to	hurry
stumble	is a way to	fall
tiptoe	is a way to	approach
scrawl	is a way to	write hastily
lurch	is a way to	jump suddenly
mumble	is a way to	speak indistinctly
stroll	is a way to	walk leisurely
slouch	is a way to	slump
creep	is a way to	sneak in
skip	is a way to	leap
snicker	is a way to	giggle
whisper	is a way to	confide in
trudge	is a way to	plod
stumble	is a way to	trip
screech	is a way to	shout loudly
tiptoe	is a way to	sneak up
frown	is a way to	scold
scribble	is a way to	doodle
shuffle	is a way to	walk slowly
muddle	is a way to	confuse
lurch	is a way to	startle
dash	is a way to	rush
slouch	is a way to	lean forward
stumble	is a way to	stagger
snicker	is a way to	laugh softly
mumble	is a way to	talk
sneeze	is a way to	cough
shuffle	is a way to	dance
hush	is a way to	silence
trample	is a way to	step
sputter	is a way to	stall
waver	is a way to	walk
falter	is a way to	run
trip	is a way to	walk
pout	is a way to	frown
hiss	is a way to	spit
stutter	is a way to	speak
swagger	is a way to	walk
stammer	is a way to	speak
lasso	is a way to	capture
dash	is a way to	sprint
